target	x	y
scan	65	52
scan	239	116
scan	115	284
scan	721	104
scan	341	315
scan	546	306
scan	256	448
scan	134	571
scan	301	602
scan	137	758
scan	300	926
scan	426	699
scan	523	531
scan	624	626
scan	724	1001
scan	810	420
scan	804	733
scan	917	95
scan	1007	279
scan	932	497
scan	912	1008
scan	1034	748
scan	1057	578
scan	1208	368
scan	1240	515
scan	1319	701
scan	1250	1031
scan	1393	274
scan	1413	534
scan	1526	387
scan	1707	95
scan	1697	358
scan	1536	706
scan	1795	570
scan	1828	956
