target	x	y
scan	42	166
scan	45	593
scan	65	708
scan	123	426
scan	150	142
scan	222	57
scan	208	325
scan	231	594
scan	304	601
scan	293	411
scan	313	171
scan	370	334
scan	387	502
scan	483	595
scan	475	250
scan	451	151
scan	542	142
scan	553	422
scan	547	610
scan	611	338
scan	636	55
scan	723	247
scan	707	526
scan	698	705
scan	806	605
scan	780	357
scan	804	70
scan	883	332
scan	865	504
scan	958	603
scan	954	247
scan	945	67
